ID,Nama,Alamat,No. Telp
1,Extra Clean Laundry,"Jl. Randu Sari Raya No.30B, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291",082126111776
2,AERO CLEAN LAUNDRY BANDUNG,"Jl. Reog No.58, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",08112125755
3,Laundry Lengkong Besar,"Jl. Lengkong Besar No.49A, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",08122333773
4,Kios Laundry Pangarang,"Jl. Pangarang No.28, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",081320666778
5,Gajah Laundry Bandung,"Jl. Wayang No.8, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",082228883434
6,Pusat Laundry Nasional,"Jl. Pasirkoja No.12, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242",085320566660
7,Amala Express Laundry,"Jl. Merdeka No.25 - 27, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",081908196626
8,Cakrawala Laundry Express Bandung,"No.4/s, Jl. Lombok, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",081904086795
9,Laundry88,"Jl. Astana Anyar No.308, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242",081224158658
10,Auto Cleaning Laundry,"Jl. Pangarang No.39 A, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40251",(022)20501876
